"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","312","2","2","0"
"2018","312","2","3","0"
"2018","312","2","4","0"
"2018","312","2","5","92"
"2018","312","2","6","11"
"2018","312","2","7","35"
"2018","312","2","8","3"
"2018","312","2","9","0"
"2018","312","2","10","0"
"2018","312","2","11","0"
"2018","312","2","12","0"
"2018","312","2","13","0"
"2018","312","2","88","141"
"2018","312","3","0","1"
"2018","312","3","1","0"
"2018","312","3","2","0"
"2018","312","3","3","0"
"2018","312","3","4","0"
"2018","312","3","5","2"
"2018","312","3","6","14"
"2018","312","3","7","7"
"2018","312","3","8","3"
"2018","312","3","9","0"
"2018","312","3","10","0"
"2018","312","3","11","0"
"2018","312","3","12","0"
"2018","312","3","13","0"
"2018","312","3","88","27"
"2018","312","4","0","2"
"2018","312","4","1","0"
"2018","312","4","2","0"
"2018","312","4","3","0"
"2018","312","4","4","0"
"2018","312","4","5","0"
"2018","312","4","6","0"
"2018","312","4","7","8"
"2018","312","4","8","33"
"2018","312","4","9","164"
"2018","312","4","10","0"
"2018","312","4","11","0"
"2018","312","4","12","0"
"2018","312","4","13","0"
"2018","312","4","88","207"
"2018","312","5","0","0"
"2018","312","5","1","0"
"2018","312","5","2","0"
"2018","312","5","3","0"
"2018","312","5","4","0"
"2018","312","5","5","0"
"2018","312","5","6","0"
"2018","312","5","7","0"
"2018","312","5","8","1"
"2018","312","5","9","3"
"2018","312","5","10","8"
"2018","312","5","11","0"
"2018","312","5","12","0"
"2018","312","5","13","0"
"2018","312","5","88","12"
"2018","312","6","0","0"
"2018","312","6","1","0"
"2018","312","6","2","0"
"2018","312","6","3","0"
"2018","312","6","4","0"
"2018","312","6","5","0"
"2018","312","6","6","0"
"2018","312","6","7","0"
"2018","312","6","8","0"
"2018","312","6","9","0"
"2018","312","6","10","0"
"2018","312","6","11","0"
"2018","312","6","12","0"
"2018","312","6","13","0"
"2018","312","6","88","0"
"2018","312","7","0","0"
"2018","312","7","1","0"
"2018","312","7","2","0"
"2018","312","7","3","0"
"2018","312","7","4","0"
"2018","312","7","5","0"
"2018","312","7","6","0"
"2018","312","7","7","0"
"2018","312","7","8","0"
"2018","312","7","9","0"
"2018","312","7","10","0"
"2018","312","7","11","2"
"2018","312","7","12","0"
"2018","312","7","13","0"
"2018","312","7","88","2"
"2018","312","8","0","0"
"2018","312","8","1","0"
"2018","312","8","2","0"
"2018","312","8","3","0"
"2018","312","8","4","0"
"2018","312","8","5","0"
"2018","312","8","6","0"
"2018","312","8","7","0"
"2018","312","8","8","0"
"2018","312","8","9","0"
"2018","312","8","10","0"
