"yr","naics_code","naics_code_descr","revenue_category","employee_size","number_of_biz"
"2018","311","Food Manufacturing","NA","1-4","13"
"2018","311","Food Manufacturing","Less than $100K","1-4","70"
"2018","311","Food Manufacturing","$100K-$200K","1-4","235"
"2018","311","Food Manufacturing","$200K-$500K","1-4","2087"
"2018","311","Food Manufacturing","$500K-$1M","1-4","166"
"2018","311","Food Manufacturing","$1M-$2.5M","1-4","75"
"2018","311","Food Manufacturing","$2.5M-$5M","1-4","28"
"2018","311","Food Manufacturing","$5M-$10M","1-4","3"
"2018","311","Food Manufacturing","$10M-$20M","1-4","0"
"2018","311","Food Manufacturing","$20M-$50M","1-4","0"
"2018","311","Food Manufacturing","$50M-$100M","1-4","0"
"2018","311","Food Manufacturing","$100M-$500M","1-4","0"
"2018","311","Food Manufacturing","$500M-$1B","1-4","0"
"2018","311","Food Manufacturing","Over $1B","1-4","0"
"2018","311","Food Manufacturing","Total","1-4","2677"
"2018","311","Food Manufacturing","NA","5-9","0"
"2018","311","Food Manufacturing","Less than $100K","5-9","0"
"2018","311","Food Manufacturing","$100K-$200K","5-9","0"
"2018","311","Food Manufacturing","$200K-$500K","5-9","341"
"2018","311","Food Manufacturing","$500K-$1M","5-9","84"
"2018","311","Food Manufacturing","$1M-$2.5M","5-9","134"
"2018","311","Food Manufacturing","$2.5M-$5M","5-9","48"
"2018","311","Food Manufacturing","$5M-$10M","5-9","23"
"2018","311","Food Manufacturing","$10M-$20M","5-9","1"
"2018","311","Food Manufacturing","$20M-$50M","5-9","0"
"2018","311","Food Manufacturing","$50M-$100M","5-9","0"
"2018","311","Food Manufacturing","$100M-$500M","5-9","0"
"2018","311","Food Manufacturing","$500M-$1B","5-9","0"
"2018","311","Food Manufacturing","Over $1B","5-9","0"
"2018","311","Food Manufacturing","Total","5-9","631"
"2018","311","Food Manufacturing","NA","10-19","1"
"2018","311","Food Manufacturing","Less than $100K","10-19","0"
"2018","311","Food Manufacturing","$100K-$200K","10-19","0"
"2018","311","Food Manufacturing","$200K-$500K","10-19","0"
"2018","311","Food Manufacturing","$500K-$1M","10-19","58"
"2018","311","Food Manufacturing","$1M-$2.5M","10-19","9"
"2018","311","Food Manufacturing","$2.5M-$5M","10-19","27"
"2018","311","Food Manufacturing","$5M-$10M","10-19","27"
"2018","311","Food Manufacturing","$10M-$20M","10-19","7"
"2018","311","Food Manufacturing","$20M-$50M","10-19","5"
"2018","311","Food Manufacturing","$50M-$100M","10-19","0"
"2018","311","Food Manufacturing","$100M-$500M","10-19","0"
"2018","311","Food Manufacturing","$500M-$1B","10-19","0"
"2018","311","Food Manufacturing","Over $1B","10-19","0"
"2018","311","Food Manufacturing","Total","10-19","134"
"2018","311","Food Manufacturing","NA","20-49","0"
"2018","311","Food Manufacturing","Less than $100K","20-49","0"
"2018","311","Food Manufacturing","$100K-$200K","20-49","0"
"2018","311","Food Manufacturing","$200K-$500K","20-49","0"
"2018","311","Food Manufacturing","$500K-$1M","20-49","0"
"2018","311","Food Manufacturing","$1M-$2.5M","20-49","21"
"2018","311","Food Manufacturing","$2.5M-$5M","20-49","1"
"2018","311","Food Manufacturing","$5M-$10M","20-49","39"
"2018","311","Food Manufacturing","$10M-$20M","20-49","24"
"2018","311","Food Manufacturing","$20M-$50M","20-49","19"
"2018","311","Food Manufacturing","$50M-$100M","20-49","1"
"2018","311","Food Manufacturing","$100M-$500M","20-49","0"
"2018","311","Food Manufacturing","$500M-$1B","20-49","0"
"2018","311","Food Manufacturing","Over $1B","20-49","0"
"2018","311","Food Manufacturing","Total","20-49","105"
"2018","311","Food Manufacturing","NA","50-99","0"
"2018","311","Food Manufacturing","Less than $100K","50-99","0"
"2018","311","Food Manufacturing","$100K-$200K","50-99","0"
"2018","311","Food Manufacturing","$200K-$500K","50-99","0"
"2018","311","Food Manufacturing","$500K-$1M","50-99","0"
"2018","311","Food Manufacturing","$1M-$2.5M","50-99","0"
"2018","311","Food Manufacturing","$2.5M-$5M","50-99","2"
"2018","311","Food Manufacturing","$5M-$10M","50-99","0"
"2018","311","Food Manufacturing","$10M-$20M","50-99","8"
"2018","311","Food Manufacturing","$20M-$50M","50-99","13"
"2018","311","Food Manufacturing","$50M-$100M","50-99","5"
"2018","311","Food Manufacturing","$100M-$500M","50-99","3"
"2018","311","Food Manufacturing","$500M-$1B","50-99","0"
"2018","311","Food Manufacturing","Over $1B","50-99","0"
"2018","311","Food Manufacturing","Total","50-99","31"
"2018","311","Food Manufacturing","NA","100-249","1"
"2018","311","Food Manufacturing","Less than $100K","100-249","0"
"2018","311","Food Manufacturing","$100K-$200K","100-249","0"
"2018","311","Food Manufacturing","$200K-$500K","100-249","0"
"2018","311","Food Manufacturing","$500K-$1M","100-249","0"
"2018","311","Food Manufacturing","$1M-$2.5M","100-249","0"
"2018","311","Food Manufacturing","$2.5M-$5M","100-249","0"
"2018","311","Food Manufacturing","$5M-$10M","100-249","1"
"2018","311","Food Manufacturing","$10M-$20M","100-249","2"
"2018","311","Food Manufacturing","$20M-$50M","100-249","6"
"2018","311","Food Manufacturing","$50M-$100M","100-249","2"
"2018","311","Food Manufacturing","$100M-$500M","100-249","5"
"2018","311","Food Manufacturing","$500M-$1B","100-249","0"
"2018","311","Food Manufacturing","Over $1B","100-249","0"
"2018","311","Food Manufacturing","Total","100-249","17"
"2018","311","Food Manufacturing","NA","250-499","0"
"2018","311","Food Manufacturing","Less than $100K","250-499","0"
"2018","311","Food Manufacturing","$100K-$200K","250-499","0"
"2018","311","Food Manufacturing","$200K-$500K","250-499","0"
"2018","311","Food Manufacturing","$500K-$1M","250-499","0"
"2018","311","Food Manufacturing","$1M-$2.5M","250-499","0"
"2018","311","Food Manufacturing","$2.5M-$5M","250-499","0"
"2018","311","Food Manufacturing","$5M-$10M","250-499","0"
"2018","311","Food Manufacturing","$10M-$20M","250-499","0"
"2018","311","Food Manufacturing","$20M-$50M","250-499","1"
"2018","311","Food Manufacturing","$50M-$100M","250-499","1"
"2018","311","Food Manufacturing","$100M-$500M","250-499","4"
"2018","311","Food Manufacturing","$500M-$1B","250-499","0"
"2018","311","Food Manufacturing","Over $1B","250-499","0"
"2018","311","Food Manufacturing","Total","250-499","6"
"2018","311","Food Manufacturing","NA","500-999","1"
"2018","311","Food Manufacturing","Less than $100K","500-999","0"
"2018","311","Food Manufacturing","$100K-$200K","500-999","0"
"2018","311","Food Manufacturing","$200K-$500K","500-999","0"
"2018","311","Food Manufacturing","$500K-$1M","500-999","0"
"2018","311","Food Manufacturing","$1M-$2.5M","500-999","0"
"2018","311","Food Manufacturing","$2.5M-$5M","500-999","0"
"2018","311","Food Manufacturing","$5M-$10M","500-999","0"
"2018","311","Food Manufacturing","$10M-$20M","500-999","0"
"2018","311","Food Manufacturing","$20M-$50M","500-999","0"
"2018","311","Food Manufacturing","$50M-$100M","500-999","0"
"2018","311","Food Manufacturing","$100M-$500M","500-999","1"
"2018","311","Food Manufacturing","$500M-$1B","500-999","0"
"2018","311","Food Manufacturing","Over $1B","500-999","0"
"2018","311","Food Manufacturing","Total","500-999","2"
"2018","311","Food Manufacturing","NA","1,000-4,999","0"
"2018","311","Food Manufacturing","Less than $100K","1,000-4,999","0"
"2018","311","Food Manufacturing","$100K-$200K","1,000-4,999","0"
"2018","311","Food Manufacturing","$200K-$500K","1,000-4,999","0"
"2018","311","Food Manufacturing","$500K-$1M","1,000-4,999","0"
"2018","311","Food Manufacturing","$1M-$2.5M","1,000-4,999","0"
"2018","311","Food Manufacturing","$2.5M-$5M","1,000-4,999","0"
"2018","311","Food Manufacturing","$5M-$10M","1,000-4,999","0"
"2018","311","Food Manufacturing","$10M-$20M","1,000-4,999","0"
"2018","311","Food Manufacturing","$20M-$50M","1,000-4,999","0"
"2018","311","Food Manufacturing","$50M-$100M","1,000-4,999","1"
"2018","311","Food Manufacturing","$100M-$500M","1,000-4,999","1"
"2018","311","Food Manufacturing","$500M-$1B","1,000-4,999","0"
"2018","311","Food Manufacturing","Over $1B","1,000-4,999","0"
"2018","311","Food Manufacturing","Total","1,000-4,999","2"
"2018","311","Food Manufacturing","NA","5,000-9,999","0"
"2018","311","Food Manufacturing","Less than $100K","5,000-9,999","0"
"2018","311","Food Manufacturing","$100K-$200K","5,000-9,999","0"
"2018","311","Food Manufacturing","$200K-$500K","5,000-9,999","0"
"2018","311","Food Manufacturing","$500K-$1M","5,000-9,999","0"
"2018","311","Food Manufacturing","$1M-$2.5M","5,000-9,999","0"
"2018","311","Food Manufacturing","$2.5M-$5M","5,000-9,999","0"
"2018","311","Food Manufacturing","$5M-$10M","5,000-9,999","0"
"2018","311","Food Manufacturing","$10M-$20M","5,000-9,999","0"
"2018","311","Food Manufacturing","$20M-$50M","5,000-9,999","0"
"2018","311","Food Manufacturing","$50M-$100M","5,000-9,999","0"
"2018","311","Food Manufacturing","$100M-$500M","5,000-9,999","0"
"2018","311","Food Manufacturing","$500M-$1B","5,000-9,999","0"
"2018","311","Food Manufacturing","Over $1B","5,000-9,999","0"
"2018","311","Food Manufacturing","Total","5,000-9,999","0"
"2018","311","Food Manufacturing","NA","Over 10,000","0"
"2018","311","Food Manufacturing","Less than $100K","Over 10,000","0"
"2018","311","Food Manufacturing","$100K-$200K","Over 10,000","0"
"2018","311","Food Manufacturing","$200K-$500K","Over 10,000","0"
"2018","311","Food Manufacturing","$500K-$1M","Over 10,000","0"
"2018","311","Food Manufacturing","$1M-$2.5M","Over 10,000","0"
"2018","311","Food Manufacturing","$2.5M-$5M","Over 10,000","0"
"2018","311","Food Manufacturing","$5M-$10M","Over 10,000","0"
"2018","311","Food Manufacturing","$10M-$20M","Over 10,000","0"
"2018","311","Food Manufacturing","$20M-$50M","Over 10,000","0"
"2018","311","Food Manufacturing","$50M-$100M","Over 10,000","0"
"2018","311","Food Manufacturing","$100M-$500M","Over 10,000","0"
"2018","311","Food Manufacturing","$500M-$1B","Over 10,000","0"
"2018","311","Food Manufacturing","Over $1B","Over 10,000","0"
"2018","311","Food Manufacturing","Total","Over 10,000","0"
"2018","311","Food Manufacturing","NA","NA","5"
"2018","311","Food Manufacturing","Less than $100K","NA","0"
"2018","311","Food Manufacturing","$100K-$200K","NA","0"
"2018","311","Food Manufacturing","$200K-$500K","NA","0"
"2018","311","Food Manufacturing","$500K-$1M","NA","0"
"2018","311","Food Manufacturing","$1M-$2.5M","NA","0"
"2018","311","Food Manufacturing","$2.5M-$5M","NA","0"
"2018","311","Food Manufacturing","$5M-$10M","NA","0"
"2018","311","Food Manufacturing","$10M-$20M","NA","0"
"2018","311","Food Manufacturing","$20M-$50M","NA","0"
"2018","311","Food Manufacturing","$50M-$100M","NA","0"
"2018","311","Food Manufacturing","$100M-$500M","NA","0"
"2018","311","Food Manufacturing","$500M-$1B","NA","0"
"2018","311","Food Manufacturing","Over $1B","NA","0"
"2018","311","Food Manufacturing","Total","NA","5"
"2018","311","Food Manufacturing","NA","Total","21"
"2018","311","Food Manufacturing","Less than $100K","Total","70"
"2018","311","Food Manufacturing","$100K-$200K","Total","235"
"2018","311","Food Manufacturing","$200K-$500K","Total","2428"
"2018","311","Food Manufacturing","$500K-$1M","Total","308"
"2018","311","Food Manufacturing","$1M-$2.5M","Total","239"
"2018","311","Food Manufacturing","$2.5M-$5M","Total","106"
"2018","311","Food Manufacturing","$5M-$10M","Total","93"
"2018","311","Food Manufacturing","$10M-$20M","Total","42"
"2018","311","Food Manufacturing","$20M-$50M","Total","44"
"2018","311","Food Manufacturing","$50M-$100M","Total","10"
"2018","311","Food Manufacturing","$100M-$500M","Total","14"
"2018","311","Food Manufacturing","$500M-$1B","Total","0"
"2018","311","Food Manufacturing","Over $1B","Total","0"
"2018","311","Food Manufacturing","Total","Total","3610"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","1-4","2"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","1-4","20"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","1-4","62"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","1-4","33"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","1-4","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","1-4","117"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","5-9","92"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","5-9","11"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","5-9","35"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","5-9","3"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","5-9","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","5-9","141"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","10-19","1"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","10-19","2"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","10-19","14"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","10-19","7"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","10-19","3"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","10-19","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","10-19","27"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","20-49","2"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","20-49","8"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","20-49","33"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","20-49","164"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","20-49","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","20-49","207"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","50-99","1"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","50-99","3"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","50-99","8"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","50-99","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","50-99","12"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","100-249","0"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","250-499","2"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","250-499","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","250-499","2"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","500-999","1"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","500-999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","500-999","1"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","1,000-4,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","5,000-9,999","0"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","Over 10,000","0"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","NA","2"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","NA","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","NA","2"
"2018","312","Beverage and Tobacco Product Manufacturing","NA","Total","5"
"2018","312","Beverage and Tobacco Product Manufacturing","Less than $100K","Total","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$100K-$200K","Total","0"
"2018","312","Beverage and Tobacco Product Manufacturing","$200K-$500K","Total","2"
"2018","312","Beverage and Tobacco Product Manufacturing","$500K-$1M","Total","20"
"2018","312","Beverage and Tobacco Product Manufacturing","$1M-$2.5M","Total","156"
"2018","312","Beverage and Tobacco Product Manufacturing","$2.5M-$5M","Total","58"
"2018","312","Beverage and Tobacco Product Manufacturing","$5M-$10M","Total","50"
"2018","312","Beverage and Tobacco Product Manufacturing","$10M-$20M","Total","40"
"2018","312","Beverage and Tobacco Product Manufacturing","$20M-$50M","Total","167"
"2018","312","Beverage and Tobacco Product Manufacturing","$50M-$100M","Total","8"
"2018","312","Beverage and Tobacco Product Manufacturing","$100M-$500M","Total","2"
"2018","312","Beverage and Tobacco Product Manufacturing","$500M-$1B","Total","1"
"2018","312","Beverage and Tobacco Product Manufacturing","Over $1B","Total","0"
"2018","312","Beverage and Tobacco Product Manufacturing","Total","Total","509"
"2018","313","Textile Mills","NA","1-4","0"
"2018","313","Textile Mills","Less than $100K","1-4","1"
"2018","313","Textile Mills","$100K-$200K","1-4","15"
"2018","313","Textile Mills","$200K-$500K","1-4","12"
"2018","313","Textile Mills","$500K-$1M","1-4","14"
"2018","313","Textile Mills","$1M-$2.5M","1-4","3"
"2018","313","Textile Mills","$2.5M-$5M","1-4","11"
"2018","313","Textile Mills","$5M-$10M","1-4","0"
"2018","313","Textile Mills","$10M-$20M","1-4","0"
