"yr","naics_code","naics_code_descr","revenue_category","employee_size","number_of_biz"
"2020","321","Wood Product Manufacturing","$50M-$100M","5-9","0"
"2020","321","Wood Product Manufacturing","$100M-$500M","5-9","0"
"2020","321","Wood Product Manufacturing","$500M-$1B","5-9","0"
"2020","321","Wood Product Manufacturing","Over $1B","5-9","0"
"2020","321","Wood Product Manufacturing","Total","5-9","88"
"2020","321","Wood Product Manufacturing","NA","10-19","0"
"2020","321","Wood Product Manufacturing","Less than $100K","10-19","1"
"2020","321","Wood Product Manufacturing","$100K-$200K","10-19","0"
"2020","321","Wood Product Manufacturing","$200K-$500K","10-19","0"
"2020","321","Wood Product Manufacturing","$500K-$1M","10-19","0"
"2020","321","Wood Product Manufacturing","$1M-$2.5M","10-19","53"
"2020","321","Wood Product Manufacturing","$2.5M-$5M","10-19","212"
"2020","321","Wood Product Manufacturing","$5M-$10M","10-19","0"
"2020","321","Wood Product Manufacturing","$10M-$20M","10-19","3"
"2020","321","Wood Product Manufacturing","$20M-$50M","10-19","0"
"2020","321","Wood Product Manufacturing","$50M-$100M","10-19","0"
"2020","321","Wood Product Manufacturing","$100M-$500M","10-19","0"
"2020","321","Wood Product Manufacturing","$500M-$1B","10-19","0"
"2020","321","Wood Product Manufacturing","Over $1B","10-19","0"
"2020","321","Wood Product Manufacturing","Total","10-19","269"
"2020","321","Wood Product Manufacturing","NA","20-49","0"
"2020","321","Wood Product Manufacturing","Less than $100K","20-49","0"
"2020","321","Wood Product Manufacturing","$100K-$200K","20-49","0"
"2020","321","Wood Product Manufacturing","$200K-$500K","20-49","0"
"2020","321","Wood Product Manufacturing","$500K-$1M","20-49","0"
"2020","321","Wood Product Manufacturing","$1M-$2.5M","20-49","0"
"2020","321","Wood Product Manufacturing","$2.5M-$5M","20-49","8"
